Treatment,Reference,TE,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,direct,direct_lower,direct_upper,indirect,indirect_lower,indirect_upper
PBO,CERTO,0.0753437311,0.0546870526,0.1038029579,0.0544568548,0.1042417496,6.116709155,0,19.7279593038,8.2769902628,47.0210023131,12.4690971935,8.8331138321,17.6017639732
RISAN,CERTO,2.1650846736,1.5954192512,2.9381566258,1.5890196058,2.9499898092,6.4194329963,0,,,,0.46187570040000003,0.3403513624,0.626790976
SECU,CERTO,1.9778536105,1.4720602534,2.6574353159,1.4663479449,2.6677876273,6.6362107682,0,,,,0.5055985917,0.37630471050000003,0.6793163327
SONELO,CERTO,1.9143434835000002,1.3207859712,2.7746440775,1.3143485351,2.7882337711,5.2809158499,0,,,,0.5223722956,0.36040904420000003,0.7571197771
TILDRA,CERTO,1.3982073181,0.9796973947000001,1.9954975026000001,0.9751206510000001,2.0048634008,5.5102232715,0,,,,0.7152015206,0.5011314396000001,1.0207166716
USK,CERTO,1.4235906928,1.0591594959,1.9134138611,1.0550444788,1.9208767983000001,6.6281899866,0,,,,0.7024490994,0.5226289273,0.9441397356000001
ADA,GUSEL,0.7195067635,0.6668233585000001,0.7763525019,0.6661561924,0.7771300315,25.7756546978,0,1.4516802622,1.3240459699,1.5916181397,1.2655800346000001,1.1057705855,1.4484856487
APRE,GUSEL,0.3189088512,0.1858094701,0.5473502253,0.1844928511,0.551256348,3.6283964162,0,,,,3.1356922092,1.8270019446,5.3818035935
BIME,GUSEL,1.2556843532,1.1556681331,1.3643563837000001,1.1544060758999999,1.3658479695999999,23.6138665205,0,,,,0.7963784827,0.7329474447000001,0.8652989956
BRODA,GUSEL,0.9998837662000001,0.8904838562,1.1227239425,0.8891265580000001,1.1244378394,16.9149153886,0,,,,1.0001162474,0.8906927975000001,1.122982594
CERTO,GUSEL,0.5508266095000001,0.4094658875,0.7409895744,0.4078704254,0.7438880948000001,6.6089734914000005,0,,,,1.8154533256,1.3495540073,2.4421925759
CICLO,GUSEL,0.2908427367,0.0541525626,1.5620589964,0.0529673978,1.5970106342000001,1.16598831,0,,,,3.4382842466,0.6402004605,18.4657764088
DEUCRAVA,GUSEL,0.5804578186,0.0821504021,4.1013953736,0.0800628741,4.2083335498,1.002421464,0,,,,1.7227780692999999,0.2438282189,12.1723576085
ETA,GUSEL,0.4418965791,0.3934364987,0.4963255501,0.3928353538,0.4970850632,16.8738314592,0,,,,2.262972938,2.0148109122,2.5417008053
FUM,GUSEL,0.1806791099,0.08170228260000001,0.39955971500000004,0.0808531303,0.4037560526,2.4696315821,0,,,,5.5346741567,2.5027913120000003,12.2393816348
IFX,GUSEL,2.079298127,0.8571819413,5.043830828,0.8472407897,5.1030129255,2.2118513965,0,,,,0.48093151580000004,0.1982652308,1.1665944754
