unique_id,name,bias,year_publication,treat,treat_class,nPASI90,rPASI90,rAE,nAE,rSAE,nSAE,dlqi,sddlqi,ndlqi,age,male_percentage,weight,bmi
158,NCT03535194,L,2021,SECU,AIL17,448,326,257,448,11,448,0,NA,448,NA,0.7,NA,.
162,NCT02762994,L,2021,NETA,AIL17,92,60,32,92,0,92,-12,7.6999998,92,40.5,0.66,82,26
162,NCT02762994,L,2021,PBO,PBO,28,5,11,28,0,28,-5.6500001,7.4000001,28,40.5,0.66,82,26
163,NCT03364309,L,2021,IXE,AIL17,350,277,186,350,3,350,-8.7307425,4.5204983,350,40.5,0.76,NA,.
163,NCT03364309,L,2021,PBO,PBO,88,2,25,88,3,88,0.92000002,4.48,88,40.5,0.76,NA,.
164,Blauvelt_2021,H,2021,PBO,PBO,52,2,11,52,0,52,0,NA,52,49,0.55,94.300003,32.5
164,Blauvelt_2021,H,2021,RISAN,AIL23,105,66,22,105,1,105,0,NA,105,49,0.55,94.300003,32.5
165,PLANETA_2021,M,2021,NETA,AIL17,169,94,32,169,1,169,0,NA,169,41,0.73,87,28
165,PLANETA_2021,M,2021,PBO,PBO,44,0,9,44,0,44,0,NA,44,41,0.73,87,28
166,Papp_2021,L,2021,PBO,PBO,52,0,22,52,1,52,0,NA,52,46,0.73,91,.
166,Papp_2021,L,2021,SECU,AIL17,53,34,26,53,0,53,0,NA,53,46,0.73,91,.
166,Papp_2021,L,2021,SONELO,AIL17,208,129,107,208,5,208,0,NA,208,46,0.73,91,.
167,NCT03589885 MATURE,L,2021,PBO,PBO,40,2,5,40,0,40,-1.97,6.9660001,40,NA,0.7,NA,.
167,NCT03589885 MATURE,L,2021,SECU,AIL17,82,57,35,82,4,82,-12.579999,7.7800002,82,NA,0.7,NA,.
